game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
capcomgeneration3,CAPCOM Generation: Dai-3-shū Koko ni Rekishi Hajimaru,CAPCOM Generation 第3集 ここに歴史はじまる,CAPCOM Generation: Dai-3-shū Koko ni Rekishi Hajimaru,CAPCOM Generation カプコン ジェネレーション 第3集 ここに歴史はじまる,1998-10-15
capcomgeneration4,CAPCOM Generation: Dai-4-shū Kokō no Eiyū,CAPCOM Generation 第4集 孤高の英雄,CAPCOM Generation: Dai-4-shū Kokō no Eiyū,CAPCOM Generation カプコン ジェネレーション 第4集 孤高の英雄,1998-11-12
capcomgeneration5,CAPCOM Generation: Dai-5-shū Kakutōka-tachi,CAPCOM Generation 第5集 格闘家たち,CAPCOM Generation: Dai-5-shū Kakutōka-tachi,CAPCOM Generation カプコン ジェネレーション 第5集 格闘家たち,1998-12-03
casper,Casper,Casper キャスパー,Casper,Casper キャスパー,1997-04-25
cattheripper13ninmenotanteishi,Cat the Ripper: 13-ninme no Tanteishi,Cat the Ripper: 13人目の探偵士,Cat the Ripper: 13-ninme no Tanteishi,Cat the Ripper キャット・ザ・リパー 13人目の探偵士,1997-07-18
cebuisland96mahjongkyoujidai,Cebu Island '96: Mahjong-kyō Jidai,Cebu Island '96 麻雀狂時代,Cebu Island '96: Mahjong-kyō Jidai,Cebu Island セブアイランド '96 麻雀狂時代,1996-07-19
cebuisland96mahjongkyoujidai,Cebu Island '96: Mahjong-kyō Jidai,Cebu Island '96 麻雀狂時代,Cebu Island '96: Mahjong-kyō Jidai (Omake Disk),Cebu Island セブアイランド '96 麻雀狂時代 (おまけDisk),1996-07-19
chaoscontrol,Chaos Control,,Chaos Control,Chaos Control カオスコントロール,1995-12-29
chaoscontrol,Chaos Control,,Chaos Control Remix,カオスコントロール リミックス Chaos Control Remix,1996-11-22
chibimarukochannotaisenpuzzledama,Chibi Maruko-chan no Taisen Puzzle-dama,ちびまる子ちゃんの対戦ぱずるだま,Chibi Maruko-chan no Taisen Puzzle-dama,ちびまる子ちゃんの対戦ぱずるだま,1995-12-15
choroqpark,Choro Q Park,チョロQパーク,Choro Q Park,チョロQパーク,1998-03-26
choroqpark,Choro Q Park,チョロQパーク,Choro Q Park,チョロQパーク,1999-03-11
chouanikikyuukyokumutekigingasaikyouotoko,Chō Aniki: Kyūkyoku... Otoko no Gyakushū!,超兄貴 究極…男の逆襲!,Chō Aniki: Kyūkyoku... Otoko no Gyakushū,超兄貴 究極…男の逆襲,1996-03-29
